player,team,league,position,salary
"Greiner, Grayson",Detroit Tigers,AL-Central,C,583100
"Grossman, Robbie",Detroit Tigers,AL-Central,OF,5000000
"Holland, Derek",Detroit Tigers,AL-Central,RP,925000
"Jones, JaCoby",Detroit Tigers,AL-Central,OF,2650000
"Mazara, Nomar",Detroit Tigers,AL-Central,OF,1750000
"Mize, Casey",Detroit Tigers,AL-Central,SP,574100
"Norris, Daniel",Detroit Tigers,AL-Central,RP,3475000
"Ramos, Wilson",Detroit Tigers,AL-Central,C,2000000
"Reyes, Victor",Detroit Tigers,AL-Central,OF,587100
"Schoop, Jonathan",Detroit Tigers,AL-Central,2B,4500000
"Skubal, Tarik",Detroit Tigers,AL-Central,SP,574300
"Soto, Gregory",Detroit Tigers,AL-Central,RP,579600
"Teheran, Julio",Detroit Tigers,AL-Central,SP,3000000
"Turnbull, Spencer",Detroit Tigers,AL-Central,SP,586900
"Urena, Jose",Detroit Tigers,AL-Central,SP,3250000
"Abreu, Bryan",Houston Astros,AL-West,RP,574100
"Altuve, Jose",Houston Astros,AL-West,2B,29000000
"Alvarez, Yordan",Houston Astros,AL-West,DH,609000
"Baez, Pedro",Houston Astros,AL-West,RP,4750000
"Bielak, Brandon",Houston Astros,AL-West,SP,599000
"Brantley, Michael",Houston Astros,AL-West,OF,16000000
"Bregman, Alex",Houston Astros,AL-West,3B,13000000
"Castro, Jason",Houston Astros,AL-West,C,3500000
"Correa, Carlos",Houston Astros,AL-West,SS,11700000
"Diaz, Aledmys",Houston Astros,AL-West,SS,3000000
"Garcia, Luis",Houston Astros,AL-West,RP,580100
"Garcia, Robel",Houston Astros,AL-West,INF,580500
"Greinke, Zack",Houston Astros,AL-West,SP,29921850
"Gurriel, Yuli",Houston Astros,AL-West,1B,6500000
"James, Josh",Houston Astros,AL-West,SP,602000
"Javier, Cristian",Houston Astros,AL-West,SP,620400
"Maldonado, Martin",Houston Astros,AL-West,C,3500000
"Martes, Francis",Houston Astros,AL-West,RP,570500
"McCormick, Chas",Houston Astros,AL-West,OF,570500
"McCullers Jr., Lance",Houston Astros,AL-West,SP,6500000
"Paredes, Enoli",Houston Astros,AL-West,RP,596900
"Pressly, Ryan",Houston Astros,AL-West,RP,8750000
"Pruitt, Austin",Houston Astros,AL-West,RP,617500
"Raley, Brooks",Houston Astros,AL-West,RP,2000000
"Scrubb, Andre",Houston Astros,AL-West,RP,601600
"Smith, Joe",Houston Astros,AL-West,RP,4000000
"Stanek, Ryne",Houston Astros,AL-West,RP,1100000
"Straw, Myles",Houston Astros,AL-West,OF,590400
"Taylor, Blake",Houston Astros,AL-West,RP,599100
"Tucker, Kyle",Houston Astros,AL-West,OF,624300
"Urquidy, Jose",Houston Astros,AL-West,SP,604200
"Valdez, Framber",Houston Astros,AL-West,SP,637300
"Verlander, Justin",Houston Astros,AL-West,SP,33000000
"Alberto, Hanser",Kansas City Royals,AL-Central,2B,1650000
